Destination,Airline,Flight,Departure,Terminal,Status,Arrival_time,A_day,Scheduled,S_day
Pittsburgh (PIT),United Airlines,UA 3453,7:30 PM,C,Landed - On-time,9:03 PM,,8:59 PM,
Toronto (YTZ),Porter Airlines,PD 142,7:30 PM,B,Landed - Delayed,10:48 PM,,9:15 PM,
Dublin (DUB),United Airlines,UA 23,7:35 PM,C,Landed - Delayed,7:17 AM,1,7:05 AM,1
Dublin (DUB),Air Canada,AC 5362,7:35 PM,C,Landed - Delayed,7:17 AM,1,7:05 AM,1
Dublin (DUB),Lufthansa,LH 7976,7:35 PM,C,Landed - Delayed,7:17 AM,1,7:05 AM,1
Dublin (DUB),SWISS,LX 3027,7:35 PM,C,Landed - Delayed,7:17 AM,1,7:05 AM,1
Manchester (MAN),United Airlines,UA 81,7:35 PM,C,Landed - Delayed,7:50 AM,1,7:40 AM,1
Manchester (MAN),Air Canada,AC 5844,7:35 PM,C,Landed - Delayed,7:50 AM,1,7:40 AM,1
Manchester (MAN),Lufthansa,LH 7634,7:35 PM,C,Landed - Delayed,7:50 AM,1,7:40 AM,1
Manchester (MAN),SWISS,LX 3075,7:35 PM,C,Landed - Delayed,7:50 AM,1,7:40 AM,1
Manchester (MAN),Brussels Airlines,SN 9028,7:35 PM,C,Landed - Delayed,7:50 AM,1,7:40 AM,1
Frankfurt (FRA),United Airlines,UA 960,7:40 PM,C,Landed - Delayed,10:04 AM,1,9:20 AM,1
Frankfurt (FRA),Air Canada,AC 5684,7:40 PM,C,Landed - Delayed,10:04 AM,1,9:20 AM,1
Frankfurt (FRA),Lufthansa,LH 7602,7:40 PM,C,Landed - Delayed,10:04 AM,1,9:20 AM,1
Glasgow (GLA),United Airlines,UA 161,7:40 PM,C,Landed - Delayed,8:46 AM,1,7:30 AM,1
Glasgow (GLA),Air Canada,AC 5894,7:40 PM,C,Landed - Delayed,8:46 AM,1,7:30 AM,1
Glasgow (GLA),Lufthansa,LH 7646,7:40 PM,C,Landed - Delayed,8:46 AM,1,7:30 AM,1
Charleston (CHS),United Airlines,UA 299,7:45 PM,C,Landed - Delayed,10:13 PM,,9:51 PM,
Charleston (CHS),Air Canada,AC 3011,7:45 PM,C,Landed - Delayed,10:13 PM,,9:51 PM,
Charleston (CHS),Lufthansa,LH 7754,7:45 PM,C,Landed - Delayed,10:13 PM,,9:51 PM,
San Diego (SAN),United Airlines,UA 621,7:45 PM,C,Landed - Delayed,11:09 PM,,10:39 PM,
San Diego (SAN),SAS,SK 8745,7:45 PM,C,Landed - Delayed,11:09 PM,,10:39 PM,
Richmond (RIC),ExpressJet,EV 4037,7:47 PM,A,Landed - On-time,9:24 PM,,9:22 PM,
Richmond (RIC),United Airlines,UA 4037,7:47 PM,A,Landed - On-time,9:24 PM,,9:22 PM,
Albany (ALB),CommutAir,C5 4962,7:50 PM,C,Landed - Delayed,11:08 PM,,9:11 PM,
Albany (ALB),Copa Airlines,CM 1153,7:50 PM,C,Landed - Delayed,11:08 PM,,9:11 PM,
Albany (ALB),United Airlines,UA 4962,7:50 PM,C,Landed - Delayed,11:08 PM,,9:11 PM,
Edinburgh (EDI),United Airlines,UA 36,7:50 PM,C,Landed - Delayed,7:48 AM,1,7:45 AM,1
Edinburgh (EDI),Air Canada,AC 5648,7:50 PM,C,Landed - Delayed,7:48 AM,1,7:45 AM,1
Edinburgh (EDI),Lufthansa,LH 7642,7:50 PM,C,Landed - Delayed,7:48 AM,1,7:45 AM,1
Atlanta (ATL),Delta Air Lines,DL 2142,7:55 PM,B,Landed - Delayed,10:26 PM,,10:22 PM,
Atlanta (ATL),Gol,G3 8115,7:55 PM,B,Landed - Delayed,10:26 PM,,10:22 PM,
Atlanta (ATL),Korean Air,KE 3537,7:55 PM,B,Landed - Delayed,10:26 PM,,10:22 PM,
Atlanta (ATL),Virgin Atlantic,VS 4513,7:55 PM,B,Landed - Delayed,10:26 PM,,10:22 PM,
Bangor (BGR),Republic Airlines,YX 3536,7:55 PM,A,Landed - On-time,9:17 PM,,9:33 PM,
Bangor (BGR),United Airlines,UA 3536,7:55 PM,A,Landed - On-time,9:17 PM,,9:33 PM,
Raleigh/Durham (RDU),GoJet Airlines,G7 6292,7:55 PM,B,Landed - On-time,10:11 PM,,9:45 PM,
Raleigh/Durham (RDU),Delta Air Lines,DL 6292,7:55 PM,B,Landed - On-time,10:11 PM,,9:45 PM,
Greensboro/High Point(GSO),CommutAir,C5 4904,7:59 PM,A,Landed - Delayed,12:16 AM,1,9:46 PM,
Greensboro/High Point(GSO),Air Canada,AC 3157,7:59 PM,A,Landed - Delayed,12:16 AM,1,9:46 PM,
Greensboro/High Point(GSO),Lufthansa,LH 7900,7:59 PM,A,Landed - Delayed,12:16 AM,1,9:46 PM,
Greensboro/High Point(GSO),SAS,SK 6860,7:59 PM,A,Landed - Delayed,12:16 AM,1,9:46 PM,
Greensboro/High Point(GSO),United Airlines,UA 4904,7:59 PM,A,Landed - Delayed,12:16 AM,1,9:46 PM,
Greenville (GSP),ExpressJet,EV 3985,8:00 PM,A,Landed - Delayed,1:32 AM,1,10:05 PM,
Greenville (GSP),Air Canada,AC 3151,8:00 PM,A,Landed - Delayed,1:32 AM,1,10:05 PM,
Greenville (GSP),Lufthansa,LH 7846,8:00 PM,A,Landed - Delayed,1:32 AM,1,10:05 PM,
Greenville (GSP),United Airlines,UA 3985,8:00 PM,A,Landed - Delayed,1:32 AM,1,10:05 PM,
Madrid (MAD),United Airlines,UA 51,8:00 PM,C,Landed - Delayed,11:25 AM,1,9:30 AM,1
Madrid (MAD),Air Canada,AC 5854,8:00 PM,C,Landed - Delayed,11:25 AM,1,9:30 AM,1
Madrid (MAD),Lufthansa,LH 7970,8:00 PM,C,Landed - Delayed,11:25 AM,1,9:30 AM,1
Madrid (MAD),SWISS,LX 3073,8:00 PM,C,Landed - Delayed,11:25 AM,1,9:30 AM,1
Madrid (MAD),Brussels Airlines,SN 9027,8:00 PM,C,Landed - Delayed,11:25 AM,1,9:30 AM,1
Manchester (MHT),CommutAir,C5 4919,8:00 PM,A,Landed - Delayed,11:46 PM,,9:20 PM,
Manchester (MHT),Copa Airlines,CM 1356,8:00 PM,A,Landed - Delayed,11:46 PM,,9:20 PM,
Manchester (MHT),United Airlines,UA 4919,8:00 PM,A,Landed - Delayed,11:46 PM,,9:20 PM,
Oklahoma City (OKC),Republic Airlines,YX 3532,8:00 PM,C,Landed - Delayed,11:57 PM,,10:52 PM,
Oklahoma City (OKC),Air Canada,AC 4816,8:00 PM,C,Landed - Delayed,11:57 PM,,10:52 PM,
Oklahoma City (OKC),Lufthansa,LH 7788,8:00 PM,C,Landed - Delayed,11:57 PM,,10:52 PM,
Oklahoma City (OKC),United Airlines,UA 3532,8:00 PM,C,Landed - Delayed,11:57 PM,,10:52 PM,
West Palm Beach (PBI),United Airlines,UA 1906,8:00 PM,C,Landed - Delayed,12:01 AM,1,10:50 PM,
West Palm Beach (PBI),Air Canada,AC 5467,8:00 PM,C,Landed - Delayed,12:01 AM,1,10:50 PM,
Phoenix (PHX),United Airlines,UA 230,8:00 PM,C,Landed - On-time,10:22 PM,,10:26 PM,
Phoenix (PHX),SAS,SK 6748,8:00 PM,C,Landed - On-time,10:22 PM,,10:26 PM,
San Francisco (SFO),United Airlines,UA 2006,8:00 PM,C,Landed - On-time,11:10 PM,,11:22 PM,
San Francisco (SFO),Air New Zealand,NZ 9128,8:00 PM,C,Landed - On-time,11:10 PM,,11:22 PM,
San Francisco (SFO),SAS,SK 6886,8:00 PM,C,Landed - On-time,11:10 PM,,11:22 PM,
San Francisco (SFO),TAP Portugal,TP 8492,8:00 PM,C,Landed - On-time,11:10 PM,,11:22 PM,
Saint Louis (STL),CommutAir,C5 4926,8:00 PM,A,Landed - Delayed,12:38 AM,1,9:50 PM,
Saint Louis (STL),Lufthansa,LH 7668,8:00 PM,A,Landed - Delayed,12:38 AM,1,9:50 PM,
Saint Louis (STL),United Airlines,UA 4926,8:00 PM,A,Landed - Delayed,12:38 AM,1,9:50 PM,
Knoxville (TYS),CommutAir,C5 4934,8:00 PM,A,Landed - Delayed,1:27 AM,1,10:17 PM,
Knoxville (TYS),Air Canada,AC 3177,8:00 PM,A,Landed - Delayed,1:27 AM,1,10:17 PM,
Knoxville (TYS),Lufthansa,LH 7832,8:00 PM,A,Landed - Delayed,1:27 AM,1,10:17 PM,
Knoxville (TYS),United Airlines,UA 4934,8:00 PM,A,Landed - Delayed,1:27 AM,1,10:17 PM,
Cincinnati (CVG),Endeavor Air,9E 4010,8:02 PM,B,Landed - Delayed,10:43 PM,,10:13 PM,
Cincinnati (CVG),Delta Air Lines,DL 4010,8:02 PM,B,Landed - Delayed,10:43 PM,,10:13 PM,
Savannah (SAV),United Airlines,UA 1621,8:02 PM,C,Landed - Delayed,12:32 AM,1,10:17 PM,
Savannah (SAV),Air Canada,AC 5673,8:02 PM,C,Landed - Delayed,12:32 AM,1,10:17 PM,
Savannah (SAV),Lufthansa,LH 7764,8:02 PM,C,Landed - Delayed,12:32 AM,1,10:17 PM,
Indianapolis (IND),Southwest Airlines,WN 5759,8:05 PM,A,Landed - On-time,10:01 PM,,10:25 PM,
Mumbai (BOM),United Airlines,UA 48,8:15 PM,C,En Route - Delayed,,,8:50 PM,
Mumbai (BOM),Air Canada,AC 5681,8:15 PM,C,En Route - Delayed,,,8:50 PM,
Las Vegas (LAS),United Airlines,UA 665,8:15 PM,C,Landed - Delayed,10:56 PM,,10:48 PM,
Las Vegas (LAS),SAS,SK 6830,8:15 PM,C,Landed - Delayed,10:56 PM,,10:48 PM,
Las Vegas (LAS),TAP Portugal,TP 8540,8:15 PM,C,Landed - Delayed,10:56 PM,,10:48 PM,
Toronto (YYZ),ExpressJet,EV 4276,8:19 PM,A,Landed - On-time,9:53 PM,,10:00 PM,
Toronto (YYZ),Air Canada,AC 3672,8:19 PM,A,Landed - On-time,9:53 PM,,10:00 PM,
Toronto (YYZ),United Airlines,UA 4276,8:19 PM,A,Landed - On-time,9:53 PM,,10:00 PM,
Austin (AUS),United Airlines,UA 1837,8:20 PM,C,Landed - On-time,11:19 PM,,11:24 PM,
Austin (AUS),Lufthansa,LH 8570,8:20 PM,C,Landed - On-time,11:19 PM,,11:24 PM,
Austin (AUS),SAS,SK 6866,8:20 PM,C,Landed - On-time,11:19 PM,,11:24 PM,
Chicago (ORD),United Airlines,UA 1108,8:21 PM,C,Landed - Delayed,10:29 PM,,9:54 PM,
Chicago (ORD),Air Canada,AC 5435,8:21 PM,C,Landed - Delayed,10:29 PM,,9:54 PM,
Chicago (ORD),Asiana Airlines,OZ 9534,8:21 PM,C,Landed - Delayed,10:29 PM,,9:54 PM,
Chicago (ORD),SAS,SK 3927,8:21 PM,C,Landed - Delayed,10:29 PM,,9:54 PM,
Chicago (ORD),TAP Portugal,TP 8480,8:21 PM,C,Landed - Delayed,10:29 PM,,9:54 PM,
Des Moines (DSM),Republic Airlines,YX 3518,8:25 PM,C,Landed - Delayed,1:09 AM,1,10:33 PM,
Des Moines (DSM),Lufthansa,LH 8574,8:25 PM,C,Landed - Delayed,1:09 AM,1,10:33 PM,
Des Moines (DSM),United Airlines,UA 3518,8:25 PM,C,Landed - Delayed,1:09 AM,1,10:33 PM,
Reykjavik (KEF),Icelandair,FI 622,8:25 PM,B,Landed - Delayed,6:33 AM,1,5:55 AM,1
Lisbon (LIS),United Airlines,UA 64,8:25 PM,C,Landed - On-time,7:58 AM,1,8:20 AM,1
Lisbon (LIS),Air Canada,AC 5856,8:25 PM,C,Landed - On-time,7:58 AM,1,8:20 AM,1
Lisbon (LIS),Lufthansa,LH 7966,8:25 PM,C,Landed - On-time,7:58 AM,1,8:20 AM,1
Lisbon (LIS),Brussels Airlines,SN 9025,8:25 PM,C,Landed - On-time,7:58 AM,1,8:20 AM,1
Orlando (MCO),United Airlines,UA 1149,8:25 PM,C,Landed - Delayed,12:26 AM,1,11:08 PM,
Orlando (MCO),SAS,SK 6758,8:25 PM,C,Landed - Delayed,12:26 AM,1,11:08 PM,
Orlando (MCO),TAP Portugal,TP 8596,8:25 PM,C,Landed - Delayed,12:26 AM,1,11:08 PM,
Nashville (BNA),United Airlines,UA 1595,8:30 PM,C,Landed - Delayed,10:44 PM,,9:50 PM,
Nashville (BNA),Lufthansa,LH 7720,8:30 PM,C,Landed - Delayed,10:44 PM,,9:50 PM,
Nashville (BNA),SAS,SK 6736,8:30 PM,C,Landed - Delayed,10:44 PM,,9:50 PM,
Madison (MSN),ExpressJet,EV 4423,8:30 PM,A,Landed - On-time,9:45 PM,,10:10 PM,
Madison (MSN),Lufthansa,LH 8599,8:30 PM,A,Landed - On-time,9:45 PM,,10:10 PM,
Madison (MSN),United Airlines,UA 4423,8:30 PM,A,Landed - On-time,9:45 PM,,10:10 PM,
Tampa (TPA),United Airlines,UA 1983,8:30 PM,C,Landed - On-time,11:19 PM,,11:25 PM,
Tampa (TPA),Lufthansa,LH 7776,8:30 PM,C,Landed - On-time,11:19 PM,,11:25 PM,
Tampa (TPA),SAS,SK 6784,8:30 PM,C,Landed - On-time,11:19 PM,,11:25 PM,
Tampa (TPA),TAP Portugal,TP 8564,8:30 PM,C,Landed - On-time,11:19 PM,,11:25 PM,
Miami (MIA),United Airlines,UA 1537,8:31 PM,C,Landed - Delayed,11:58 PM,,11:31 PM,
Miami (MIA),SAS,SK 6764,8:31 PM,C,Landed - Delayed,11:58 PM,,11:31 PM,
Miami (MIA),TAP Portugal,TP 8590,8:31 PM,C,Landed - Delayed,11:58 PM,,11:31 PM,
Washington (DCA),ExpressJet,EV 4331,8:35 PM,A,Landed - On-time,9:50 PM,,9:50 PM,
Washington (DCA),TAP Portugal,TP 8502,8:35 PM,A,Landed - On-time,9:50 PM,,9:50 PM,
Washington (DCA),United Airlines,UA 4331,8:35 PM,A,Landed - On-time,9:50 PM,,9:50 PM,
Kansas City (MCI),Republic Airlines,YX 3491,8:40 PM,C,Landed - On-time,10:37 PM,,10:49 PM,
Kansas City (MCI),Lufthansa,LH 7508,8:40 PM,C,Landed - On-time,10:37 PM,,10:49 PM,
Kansas City (MCI),SAS,SK 6728,8:40 PM,C,Landed - On-time,10:37 PM,,10:49 PM,
Kansas City (MCI),United Airlines,UA 3491,8:40 PM,C,Landed - On-time,10:37 PM,,10:49 PM,
Chattanooga (CHA),ExpressJet,EV 4132,8:45 PM,A,Landed - Delayed,1:26 AM,1,11:22 PM,
Chattanooga (CHA),United Airlines,UA 4132,8:45 PM,A,Landed - Delayed,1:26 AM,1,11:22 PM,
Munich (MUC),Lufthansa,LH 413,8:45 PM,B,Landed - Delayed,11:05 AM,1,10:30 AM,1
Munich (MUC),Air Canada,AC 9448,8:45 PM,B,Landed - Delayed,11:05 AM,1,10:30 AM,1
Munich (MUC),United Airlines,UA 9254,8:45 PM,B,Landed - Delayed,11:05 AM,1,10:30 AM,1
Aguadilla (BQN),United Airlines,UA 1071,8:49 PM,C,Landed - Delayed,2:58 AM,1,12:39 AM,1
Aguadilla (BQN),Air Canada,AC 5966,8:49 PM,C,Landed - Delayed,2:58 AM,1,12:39 AM,1
Dulles (IAD),CommutAir,C5 4974,8:50 PM,C,Landed - Delayed,11:44 PM,,10:29 PM,
Dulles (IAD),TAP Portugal,TP 8498,8:50 PM,C,Landed - Delayed,11:44 PM,,10:29 PM,
Dulles (IAD),United Airlines,UA 4974,8:50 PM,C,Landed - Delayed,11:44 PM,,10:29 PM,
Jacksonville (JAX),Republic Airlines,YX 3476,8:50 PM,C,Landed - Delayed,1:07 AM,1,11:29 PM,
Jacksonville (JAX),Air Canada,AC 4733,8:50 PM,C,Landed - Delayed,1:07 AM,1,11:29 PM,
Jacksonville (JAX),Lufthansa,LH 7840,8:50 PM,C,Landed - Delayed,1:07 AM,1,11:29 PM,
Jacksonville (JAX),SAS,SK 6806,8:50 PM,C,Landed - Delayed,1:07 AM,1,11:29 PM,
Jacksonville (JAX),United Airlines,UA 3476,8:50 PM,C,Landed - Delayed,1:07 AM,1,11:29 PM,
Columbus (CMH),Republic Airlines,YX 3639,8:51 PM,C,Landed - On-time,10:34 PM,,10:45 PM,
Columbus (CMH),Lufthansa,LH 7678,8:51 PM,C,Landed - On-time,10:34 PM,,10:45 PM,
Columbus (CMH),United Airlines,UA 3639,8:51 PM,C,Landed - On-time,10:34 PM,,10:45 PM,
Cincinnati (CVG),Republic Airlines,YX 3677,8:51 PM,C,Landed - Delayed,12:20 AM,1,11:03 PM,
Cincinnati (CVG),Air Canada,AC 4838,8:51 PM,C,Landed - Delayed,12:20 AM,1,11:03 PM,
Cincinnati (CVG),Lufthansa,LH 7820,8:51 PM,C,Landed - Delayed,12:20 AM,1,11:03 PM,
Cincinnati (CVG),SAS,SK 6802,8:51 PM,C,Landed - Delayed,12:20 AM,1,11:03 PM,
Cincinnati (CVG),United Airlines,UA 3677,8:51 PM,C,Landed - Delayed,12:20 AM,1,11:03 PM,
Elmira (ELM),CommutAir,C5 4898,8:55 PM,C,Landed - On-time,9:48 PM,,10:07 PM,
Elmira (ELM),United Airlines,UA 4898,8:55 PM,C,Landed - On-time,9:48 PM,,10:07 PM,
Fort Wayne (FWA),ExpressJet,EV 4253,8:55 PM,A,Landed - Delayed,1:26 AM,1,11:09 PM,
Fort Wayne (FWA),United Airlines,UA 4253,8:55 PM,A,Landed - Delayed,1:26 AM,1,11:09 PM,
Ottawa (YOW),Jazz,QK 8857,8:55 PM,A,Landed - Delayed,12:30 AM,1,10:19 PM,
Ottawa (YOW),Air Canada,AC 8857,8:55 PM,A,Landed - Delayed,12:30 AM,1,10:19 PM,
London (LHR),United Airlines,UA 16,9:00 PM,C,Landed - Delayed,9:49 AM,1,9:20 AM,1
London (LHR),Air Canada,AC 5281,9:00 PM,C,Landed - Delayed,9:49 AM,1,9:20 AM,1
London (LHR),Lufthansa,LH 7630,9:00 PM,C,Landed - Delayed,9:49 AM,1,9:20 AM,1
London (LHR),SWISS,LX 3059,9:00 PM,C,Landed - Delayed,9:49 AM,1,9:20 AM,1
London (LHR),Austrian,OS 7800,9:00 PM,C,Landed - Delayed,9:49 AM,1,9:20 AM,1
San Juan (SJU),JetBlue Airways,B6 2889,9:00 PM,A,Landed - Delayed,2:20 AM,1,12:51 AM,1
San Juan (SJU),El Al,LY 8772,9:00 PM,A,Landed - Delayed,2:20 AM,1,12:51 AM,1
San Juan (SJU),TAP Portugal,TP 8113,9:00 PM,A,Landed - Delayed,2:20 AM,1,12:51 AM,1
Tel Aviv-Yafo (TLV),El Al,LY 26,9:00 PM,B,Landed - Delayed,2:55 PM,1,2:25 PM,1
Boston (BOS),JetBlue Airways,B6 2680,9:09 PM,A,Landed - Delayed,12:13 AM,1,10:23 PM,
Boston (BOS),El Al,LY 8523,9:09 PM,A,Landed - Delayed,12:13 AM,1,10:23 PM,
Los Angeles (LAX),United Airlines,UA 1165,9:10 PM,C,Landed - On-time,12:12 AM,1,12:21 AM,1
Los Angeles (LAX),Air New Zealand,NZ 9538,9:10 PM,C,Landed - On-time,12:12 AM,1,12:21 AM,1
Fort Lauderdale (FLL),Spirit Airlines,NK 887,9:12 PM,B,Landed - Delayed,3:00 AM,1,12:10 AM,1
Indianapolis (IND),FedEx,FX 1607,9:15 PM,,Landed - Delayed,11:20 PM,,,
San Francisco (SFO),United Airlines,UA 1526,9:15 PM,C,Landed - On-time,12:01 AM,1,12:44 AM,1
San Francisco (SFO),Air New Zealand,NZ 9133,9:15 PM,C,Landed - On-time,12:01 AM,1,12:44 AM,1
Memphis (MEM),FedEx,FX 1202,9:30 PM,,Landed - Delayed,12:47 AM,1,,
Grand Rapids (GRR),Republic Airlines,YX 3653,9:34 PM,C,Landed - Delayed,12:33 AM,1,11:49 PM,
Grand Rapids (GRR),Lufthansa,LH 7733,9:34 PM,C,Landed - Delayed,12:33 AM,1,11:49 PM,
Grand Rapids (GRR),United Airlines,UA 3653,9:34 PM,C,Landed - Delayed,12:33 AM,1,11:49 PM,
Albany (ALB),CommutAir,C5 4903,9:35 PM,C,Landed - On-time,10:50 PM,,10:55 PM,
Albany (ALB),Copa Airlines,CM 1154,9:35 PM,C,Landed - On-time,10:50 PM,,10:55 PM,
Albany (ALB),Lufthansa,LH 8941,9:35 PM,C,Landed - On-time,10:50 PM,,10:55 PM,
Albany (ALB),United Airlines,UA 4903,9:35 PM,C,Landed - On-time,10:50 PM,,10:55 PM,
Ithaca (ITH),CommutAir,C5 4921,9:35 PM,A,Landed - Delayed,10:56 PM,,10:59 PM,
Ithaca (ITH),Copa Airlines,CM 2094,9:35 PM,A,Landed - Delayed,10:56 PM,,10:59 PM,
Ithaca (ITH),United Airlines,UA 4921,9:35 PM,A,Landed - Delayed,10:56 PM,,10:59 PM,
London (LHR),British Airways,BA 188,9:35 PM,B,Landed - Delayed,9:52 AM,1,9:30 AM,1
London (LHR),American Airlines,AA 6151,9:35 PM,B,Landed - Delayed,9:52 AM,1,9:30 AM,1
London (LHR),Finnair,AY 5488,9:35 PM,B,Landed - Delayed,9:52 AM,1,9:30 AM,1
London (LHR),Aer Lingus,EI 8888,9:35 PM,B,Landed - Delayed,9:52 AM,1,9:30 AM,1
London (LHR),Iberia,IB 4626,9:35 PM,B,Landed - Delayed,9:52 AM,1,9:30 AM,1
Milwaukee (MKE),Republic Airlines,YX 3555,9:35 PM,C,Landed - Delayed,12:36 AM,1,11:09 PM,
Milwaukee (MKE),Lufthansa,LH 8596,9:35 PM,C,Landed - Delayed,12:36 AM,1,11:09 PM,
Milwaukee (MKE),United Airlines,UA 3555,9:35 PM,C,Landed - Delayed,12:36 AM,1,11:09 PM,
South Bend (SBN),ExpressJet,EV 4188,9:39 PM,A,Landed - Delayed,1:31 AM,1,11:52 PM,
South Bend (SBN),United Airlines,UA 4188,9:39 PM,A,Landed - Delayed,1:31 AM,1,11:52 PM,
Syracuse (SYR),Republic Airlines,YX 3458,9:39 PM,C,Landed - On-time,10:38 PM,,10:53 PM,
Syracuse (SYR),Copa Airlines,CM 1391,9:39 PM,C,Landed - On-time,10:38 PM,,10:53 PM,
Syracuse (SYR),Lufthansa,LH 9333,9:39 PM,C,Landed - On-time,10:38 PM,,10:53 PM,
Syracuse (SYR),United Airlines,UA 3458,9:39 PM,C,Landed - On-time,10:38 PM,,10:53 PM,
Buffalo (BUF),United Airlines,UA 571,9:40 PM,C,Landed - Delayed,11:20 PM,,10:56 PM,
Buffalo (BUF),Copa Airlines,CM 1272,9:40 PM,C,Landed - Delayed,11:20 PM,,10:56 PM,
Buffalo (BUF),Lufthansa,LH 8576,9:40 PM,C,Landed - Delayed,11:20 PM,,10:56 PM,
Pittsburgh (PIT),Republic Airlines,YX 3429,9:40 PM,C,Landed - Delayed,12:35 AM,1,11:11 PM,
Pittsburgh (PIT),Lufthansa,LH 7563,9:40 PM,C,Landed - Delayed,12:35 AM,1,11:11 PM,
Pittsburgh (PIT),United Airlines,UA 3429,9:40 PM,C,Landed - Delayed,12:35 AM,1,11:11 PM,
Providence (PVD),ExpressJet,EV 4404,9:40 PM,A,Landed - Delayed,11:51 PM,,10:50 PM,
Providence (PVD),Lufthansa,LH 8988,9:40 PM,A,Landed - Delayed,11:51 PM,,10:50 PM,
Providence (PVD),United Airlines,UA 4404,9:40 PM,A,Landed - Delayed,11:51 PM,,10:50 PM,
Louisville (SDF),Republic Airlines,YX 3726,9:40 PM,C,Landed - Delayed,1:14 AM,1,12:09 AM,1
Louisville (SDF),Air Canada,AC 3169,9:40 PM,C,Landed - Delayed,1:14 AM,1,12:09 AM,1
Louisville (SDF),Lufthansa,LH 7782,9:40 PM,C,Landed - Delayed,1:14 AM,1,12:09 AM,1
Louisville (SDF),United Airlines,UA 3726,9:40 PM,C,Landed - Delayed,1:14 AM,1,12:09 AM,1
Toronto (YYZ),Sky Regional,KV 7605,9:40 PM,A,Landed - Delayed,1:17 AM,1,11:12 PM,
Toronto (YYZ),United Airlines,UA 8567,9:40 PM,A,Landed - Delayed,1:17 AM,1,11:12 PM,
Toronto (YYZ),Air Canada,AC 7605,9:40 PM,A,Landed - Delayed,1:17 AM,1,11:12 PM,
Orlando (MCO),JetBlue Airways,B6 127,9:43 PM,A,Landed - Delayed,3:03 AM,1,12:25 AM,1
Orlando (MCO),TAP Portugal,TP 8101,9:43 PM,A,Landed - Delayed,3:03 AM,1,12:25 AM,1
Buenos Aires (EZE),United Airlines,UA 979,9:45 PM,C,Landed - On-time,9:34 AM,1,9:50 AM,1
Porto (OPO),United Airlines,UA 144,9:45 PM,C,Landed - On-time,9:12 AM,1,9:45 AM,1
Porto (OPO),Air Canada,AC 4072,9:45 PM,C,Landed - On-time,9:12 AM,1,9:45 AM,1
Porto (OPO),Brussels Airlines,SN 9030,9:45 PM,C,Landed - On-time,9:12 AM,1,9:45 AM,1
Raleigh/Durham (RDU),United Airlines,UA 623,9:45 PM,C,Landed - On-time,11:27 PM,,11:25 PM,
Raleigh/Durham (RDU),Lufthansa,LH 7588,9:45 PM,C,Landed - On-time,11:27 PM,,11:25 PM,
Raleigh/Durham (RDU),SAS,SK 6712,9:45 PM,C,Landed - On-time,11:27 PM,,11:25 PM,
Boston (BOS),United Airlines,UA 2062,9:47 PM,C,Landed - Delayed,11:33 PM,,10:58 PM,
Boston (BOS),SAS,SK 6786,9:47 PM,C,Landed - Delayed,11:33 PM,,10:58 PM,
Boston (BOS),TAP Portugal,TP 8516,9:47 PM,C,Landed - Delayed,11:33 PM,,10:58 PM,
Rochester (ROC),United Airlines,UA 309,9:48 PM,C,Landed - On-time,11:03 PM,,11:08 PM,
Rochester (ROC),Copa Airlines,CM 1379,9:48 PM,C,Landed - On-time,11:03 PM,,11:08 PM,
Rochester (ROC),Lufthansa,LH 7797,9:48 PM,C,Landed - On-time,11:03 PM,,11:08 PM,
Wilkes-Barre (AVP),ExpressJet,EV 3965,9:50 PM,A,Landed - Delayed,11:51 PM,,10:59 PM,
Wilkes-Barre (AVP),United Airlines,UA 3965,9:50 PM,A,Landed - Delayed,11:51 PM,,10:59 PM,
Burlington (BTV),United Airlines,UA 550,9:50 PM,C,Landed - Delayed,12:09 AM,1,11:04 PM,
Burlington (BTV),Copa Airlines,CM 1260,9:50 PM,C,Landed - Delayed,12:09 AM,1,11:04 PM,
Baltimore (BWI),ExpressJet,EV 4108,9:50 PM,A,Landed - On-time,10:45 PM,,11:10 PM,
Baltimore (BWI),Lufthansa,LH 7714,9:50 PM,A,Landed - On-time,10:45 PM,,11:10 PM,
Baltimore (BWI),United Airlines,UA 4108,9:50 PM,A,Landed - On-time,10:45 PM,,11:10 PM,
Delhi (DEL),United Airlines,UA 82,9:50 PM,C,En Route - Delayed,,,9:30 PM,1
Delhi (DEL),Air Canada,AC 5873,9:50 PM,C,En Route - Delayed,,,9:30 PM,1
Ottawa (YOW),ExpressJet,EV 4459,9:50 PM,A,Landed - Delayed,11:41 PM,,11:20 PM,
Ottawa (YOW),United Airlines,UA 4459,9:50 PM,A,Landed - Delayed,11:41 PM,,11:20 PM,
Detroit (DTW),Republic Airlines,YX 3530,9:55 PM,C,Landed - On-time,12:01 AM,1,11:55 PM,
Detroit (DTW),SAS,SK 6854,9:55 PM,C,Landed - On-time,12:01 AM,1,11:55 PM,
Detroit (DTW),TAP Portugal,TP 8572,9:55 PM,C,Landed - On-time,12:01 AM,1,11:55 PM,
Detroit (DTW),United Airlines,UA 3530,9:55 PM,C,Landed - On-time,12:01 AM,1,11:55 PM,
Indianapolis (IND),Republic Airlines,YX 3421,9:55 PM,C,Landed - Delayed,12:22 AM,1,12:14 AM,1
Indianapolis (IND),Lufthansa,LH 7786,9:55 PM,C,Landed - Delayed,12:22 AM,1,12:14 AM,1
Indianapolis (IND),SAS,SK 6850,9:55 PM,C,Landed - Delayed,12:22 AM,1,12:14 AM,1
