Destination,Airline,Flight,Departure,Terminal,Status,Arrival_time,A_day,Scheduled,S_day
Salt Lake City (SLC),Delta Air Lines,DL 1724,6:05 PM,B,Landed - Delayed,8:50 PM,,9:25 PM,
Phoenix (PHX),United Airlines,UA 607,6:09 PM,C,Landed - Delayed,9:17 PM,,8:35 PM,
Phoenix (PHX),Lufthansa,LH 9000,6:09 PM,C,Landed - Delayed,9:17 PM,,8:35 PM,
Phoenix (PHX),SAS,SK 6746,6:09 PM,C,Landed - Delayed,9:17 PM,,8:35 PM,
London (LHR),British Airways,BA 184,6:10 PM,B,Landed - On-time,6:08 AM,1,6:15 AM,1
London (LHR),American Airlines,AA 6147,6:10 PM,B,Landed - On-time,6:08 AM,1,6:15 AM,1
London (LHR),Finnair,AY 5484,6:10 PM,B,Landed - On-time,6:08 AM,1,6:15 AM,1
London (LHR),Aer Lingus,EI 8884,6:10 PM,B,Landed - On-time,6:08 AM,1,6:15 AM,1
London (LHR),Iberia,IB 4622,6:10 PM,B,Landed - On-time,6:08 AM,1,6:15 AM,1
Dallas (DFW),American Airlines,AA 901,6:15 PM,A,Landed - Delayed,9:16 PM,,9:16 PM,
Santa Ana (SNA),United Airlines,UA 1075,6:15 PM,C,Landed - Delayed,10:38 PM,,9:23 PM,
Santa Ana (SNA),Air Canada,AC 5834,6:15 PM,C,Landed - Delayed,10:38 PM,,9:23 PM,
Richmond (RIC),CommutAir,C5 4979,6:20 PM,A,Landed - Delayed,9:53 PM,,8:00 PM,
Richmond (RIC),Lufthansa,LH 7654,6:20 PM,A,Landed - Delayed,9:53 PM,,8:00 PM,
Richmond (RIC),United Airlines,UA 4979,6:20 PM,A,Landed - Delayed,9:53 PM,,8:00 PM,
Toronto (YTZ),Porter Airlines,PD 140,6:20 PM,B,Landed - Delayed,9:42 PM,,7:59 PM,
Vancouver (YVR),Air Canada,AC 549,6:20 PM,A,Landed - Delayed,9:46 PM,,9:03 PM,
Brussels (BRU),United Airlines,UA 999,6:25 PM,C,Landed - On-time,7:10 AM,1,7:45 AM,1
Brussels (BRU),Air Canada,AC 5918,6:25 PM,C,Landed - On-time,7:10 AM,1,7:45 AM,1
Brussels (BRU),Lufthansa,LH 8855,6:25 PM,C,Landed - On-time,7:10 AM,1,7:45 AM,1
Brussels (BRU),SWISS,LX 3015,6:25 PM,C,Landed - On-time,7:10 AM,1,7:45 AM,1
Brussels (BRU),Austrian,OS 7778,6:25 PM,C,Landed - On-time,7:10 AM,1,7:45 AM,1
Brussels (BRU),Brussels Airlines,SN 8808,6:25 PM,C,Landed - On-time,7:10 AM,1,7:45 AM,1
Washington (DCA),ExpressJet,EV 4312,6:25 PM,A,Landed - Delayed,8:47 PM,,7:50 PM,
Washington (DCA),TAP Portugal,TP 8500,6:25 PM,A,Landed - Delayed,8:47 PM,,7:50 PM,
Washington (DCA),United Airlines,UA 4312,6:25 PM,A,Landed - Delayed,8:47 PM,,7:50 PM,
Memphis (MEM),ExpressJet,EV 4439,6:25 PM,A,Landed - Delayed,10:31 PM,,8:30 PM,
Memphis (MEM),Air Canada,AC 4619,6:25 PM,A,Landed - Delayed,10:31 PM,,8:30 PM,
Memphis (MEM),Lufthansa,LH 7810,6:25 PM,A,Landed - Delayed,10:31 PM,,8:30 PM,
Memphis (MEM),SAS,SK 6796,6:25 PM,A,Landed - Delayed,10:31 PM,,8:30 PM,
Memphis (MEM),United Airlines,UA 4439,6:25 PM,A,Landed - Delayed,10:31 PM,,8:30 PM,
Fort Myers (RSW),United Airlines,UA 1857,6:25 PM,C,Landed - Delayed,10:18 PM,,9:24 PM,
Fort Myers (RSW),Lufthansa,LH 7794,6:25 PM,C,Landed - Delayed,10:18 PM,,9:24 PM,
Paris (CDG),United Airlines,UA 57,6:30 PM,C,Landed - Delayed,10:57 AM,1,7:45 AM,1
Paris (CDG),Air Canada,AC 5662,6:30 PM,C,Landed - Delayed,10:57 AM,1,7:45 AM,1
Paris (CDG),Lufthansa,LH 7960,6:30 PM,C,Landed - Delayed,10:57 AM,1,7:45 AM,1
Paris (CDG),SWISS,LX 3021,6:30 PM,C,Landed - Delayed,10:57 AM,1,7:45 AM,1
Paris (CDG),Austrian,OS 7782,6:30 PM,C,Landed - Delayed,10:57 AM,1,7:45 AM,1
Paris (CDG),Brussels Airlines,SN 9008,6:30 PM,C,Landed - Delayed,10:57 AM,1,7:45 AM,1
Zurich (ZRH),United Airlines,UA 134,6:30 PM,C,Landed - Delayed,8:47 AM,1,8:30 AM,1
Zurich (ZRH),Air Canada,AC 5046,6:30 PM,C,Landed - Delayed,8:47 AM,1,8:30 AM,1
Zurich (ZRH),Lufthansa,LH 8897,6:30 PM,C,Landed - Delayed,8:47 AM,1,8:30 AM,1
Zurich (ZRH),SWISS,LX 3219,6:30 PM,C,Landed - Delayed,8:47 AM,1,8:30 AM,1
Zurich (ZRH),Austrian,OS 7772,6:30 PM,C,Landed - Delayed,8:47 AM,1,8:30 AM,1
Chicago (MDW),Southwest Airlines,WN 9002,6:34 PM,,Landed,,,,
Atlanta (ATL),United Airlines,UA 1245,6:35 PM,C,Landed - Delayed,11:36 PM,,9:04 PM,
Atlanta (ATL),SAS,SK 6722,6:35 PM,C,Landed - Delayed,11:36 PM,,9:04 PM,
Atlanta (ATL),TAP Portugal,TP 8520,6:35 PM,C,Landed - Delayed,11:36 PM,,9:04 PM,
Milan (MXP),United Airlines,UA 19,6:35 PM,C,Landed - On-time,8:36 AM,1,8:40 AM,1
Milan (MXP),Air Canada,AC 5816,6:35 PM,C,Landed - On-time,8:36 AM,1,8:40 AM,1
Milan (MXP),Lufthansa,LH 7614,6:35 PM,C,Landed - On-time,8:36 AM,1,8:40 AM,1
Milan (MXP),SWISS,LX 3077,6:35 PM,C,Landed - On-time,8:36 AM,1,8:40 AM,1
Milan (MXP),Austrian,OS 7768,6:35 PM,C,Landed - On-time,8:36 AM,1,8:40 AM,1
